TITLE="Euler"
 VARIABLES="x","y","rho","p","u","v"
ZONE I=         100 J=         100 F=POINT
0.000000000000000000e+00 0.000000000000000000e+00 9.994354844093322754e-01 9.984585046768188477e-01 -7.497651576995849609e-01 4.993935823440551758e-01
0.000000000000000000e+00 1.010101010101010187e-02 9.993327856063842773e-01 9.982758760452270508e-01 -7.495905160903930664e-01 4.994869530200958252e-01
0.000000000000000000e+00 2.020202020202020374e-02 9.992167353630065918e-01 9.980720281600952148e-01 -7.494000196456909180e-01 4.995903670787811279e-01
0.000000000000000000e+00 3.030303030303030387e-02 9.990840554237365723e-01 9.978426694869995117e-01 -7.491915225982666016e-01 4.997065961360931396e-01
0.000000000000000000e+00 4.040404040404040747e-02 9.989312887191772461e-01 9.975829124450683594e-01 -7.489622831344604492e-01 4.998398423194885254e-01
0.000000000000000000e+00 5.050505050505051108e-02 9.987537264823913574e-01 9.972862005233764648e-01 -7.487097978591918945e-01 4.999947845935821533e-01
0.000000000000000000e+00 6.060606060606060774e-02 9.985449910163879395e-01 9.969449043273925781e-01 -7.484298944473266602e-01 5.001779198646545410e-01
0.000000000000000000e+00 7.070707070707071829e-02 9.982982873916625977e-01 9.965497255325317383e-01 -7.481187582015991211e-01 5.003972053527832031e-01
0.000000000000000000e+00 8.080808080808081495e-02 9.980040788650512695e-01 9.960888624191284180e-01 -7.477697134017944336e-01 5.006622076034545898e-01
0.000000000000000000e+00 9.090909090909091161e-02 9.976515173912048340e-01 9.955480098724365234e-01 -7.473757266998291016e-01 5.009848475456237793e-01
0.000000000000000000e+00 1.010101010101010222e-01 9.972269535064697266e-01 9.949095249176025391e-01 -7.469265460968017578e-01 5.013797283172607422e-01
0.000000000000000000e+00 1.111111111111111188e-01 9.967129230499267578e-01 9.941509962081909180e-01 -7.464097738265991211e-01 5.018641352653503418e-01
0.000000000000000000e+00 1.212121212121212155e-01 9.960885643959045410e-01 9.932454824447631836e-01 -7.458089590072631836e-01 5.024585127830505371e-01
0.000000000000000000e+00 1.313131313131313260e-01 9.953285455703735352e-01 9.921597242355346680e-01 -7.451032400131225586e-01 5.031875967979431152e-01
0.000000000000000000e+00 1.414141414141414366e-01 9.944013357162475586e-01 9.908530712127685547e-01 -7.442661523818969727e-01 5.040795803070068359e-01
0.000000000000000000e+00 1.515151515151515194e-01 9.932707548141479492e-01 9.892771244049072266e-01 -7.432651519775390625e-01 5.051672458648681641e-01
0.000000000000000000e+00 1.616161616161616299e-01 9.918926358222961426e-01 9.873735904693603516e-01 -7.420607805252075195e-01 5.064886212348937988e-01
0.000000000000000000e+00 1.717171717171717404e-01 9.902160763740539551e-01 9.850747585296630859e-01 -7.406071424484252930e-01 5.080858469009399414e-01
0.000000000000000000e+00 1.818181818181818232e-01 9.881840944290161133e-01 9.823029041290283203e-01 -7.388497591018676758e-01 5.100069046020507812e-01
0.000000000000000000e+00 1.919191919191919338e-01 9.857335090637207031e-01 9.789724349975585938e-01 -7.367295026779174805e-01 5.123033523559570312e-01
0.000000000000000000e+00 2.020202020202020443e-01 9.827982783317565918e-01 9.749913215637207031e-01 -7.341822385787963867e-01 5.150302648544311523e-01
